Mã,Sàn,Action,Conf,MFPM,Macro,MacroScore,BCTC Risk,Days→BCTC,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào lệnh,Cắt lỗ,SL%,TP1,TP2,R:R,RSI14,ATR14,SMA20,Vol,AvgVol20d,M-CVD5d,M-CVD Trend,Stealth,Dist Warn,AMD,HMM,AMF,Pattern,Sector Flow,PT Net 5d,PT Ratio 5d,Sizing%,Sizing Qty,Sector,Trend Warning,Dự báo,FC Conf%,T+ Verdict,A×T+ Ý nghĩa,T+ Exit,T+ Conf%
PPS,HNX,WATCH,LOW,65,NEUTRAL,0.0,SAFE,,,58,58,RETAIL_DRIVEN,MODE_A,10500.0,10350.0,9870.0,-4.64,11600.0,12850.0,2.6,52.6,314.0,10410.0,8100,1320,2430.0,UP,False,NONE,ACCUMULATION,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,70.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 10,200.0 | T+2.5 11,000.0 | T+5 11,400.0",70.0
PC1,HOSE,WATCH,LOW,63,NEUTRAL,0.0,SAFE,,,66,48,RETAIL_DRIVEN,MODE_A,19700.0,19300.0,17650.0,-8.55,23650.0,27950.0,2.64,51.1,1082.0,20052.0,13263900,11728520,0.0,UP,False,NONE,RANGING,STEADY_BEAR,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,85.0,TRANH_XA,"Khong duoi gia. Du Action chua xau, T+ cho thay diem vao hien tai bat loi va reward/risk kem.","Tranh mo vi the moi. Neu dang nam giu, dung SL - | T+2.5 - | T+5 - lam moc quan tri rui ro.",0.0
TRC,HOSE,WATCH,LOW,58,NEUTRAL,0.0,SAFE,,,67,49,RETAIL_DRIVEN,MODE_A,75000.0,75000.0,72600.0,-3.2,81300.0,87500.0,2.62,54.9,1564.0,74500.0,13000,33550,0.0,UP,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TRUNG LẬP,36.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 73,600.0 | T+2.5 77,800.0 | T+5 79,700.0",80.0
DHA,HOSE,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,35,35,RETAIL_DRIVEN,MODE_B,48950.0,48950.0,47450.0,-3.06,52800.0,56600.0,2.57,81.5,957.0,46158.0,73600,47070,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,DOWNTREND_STRENGTHENING,GIẢM,88.0,THEO_DOI,"Cau truc dang theo doi, chua co diem vao dep ngay luc nay.",Theo doi them truoc khi kich hoat lenh. Ke hoach du kien: SL - | T+2.5 - | T+5 -,0.0
DXV,HOSE,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,50,50,RETAIL_DRIVEN,MODE_A,3900.0,3900.0,3660.0,-6.15,4530.0,5160.0,2.62,48.9,158.0,3890.0,25500,4095,7650.0,UP,False,NONE,ACCUMULATION,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,63.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 3,760.0 | T+2.5 4,180.0 | T+5 4,370.0",80.0
SRC,HOSE,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,34,34,RETAIL_DRIVEN,MODE_A,53600.0,53600.0,51900.0,-3.17,57600.0,61700.0,2.35,53.9,1007.0,53095.0,2400,3385,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,5.36,300,,UPTREND_STRENGTHENING,TĂNG,95.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 52,700.0 | T+2.5 55,400.0 | T+5 56,600.0",95.0
DAD,HNX,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,38,38,RETAIL_DRIVEN,MODE_A,15500.0,15500.0,14650.0,-5.48,17700.0,19900.0,2.59,52.0,550.0,15575.0,2400,410,720.0,UP,False,NONE,DISTRIBUTION,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,GIẢM,78.0,TRANH_XA,"Khong duoi gia. Du Action chua xau, T+ cho thay diem vao hien tai bat loi va reward/risk kem.","Tranh mo vi the moi. Neu dang nam giu, dung SL - | T+2.5 - | T+5 - lam moc quan tri rui ro.",0.0
TOT,HNX,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,34,34,RETAIL_DRIVEN,MODE_A,16900.0,16800.0,16100.0,-4.17,18600.0,20400.0,2.57,64.5,450.0,16475.0,200,2385,0.0,FLAT,False,CAUTION,RANGING,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,57.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 16,500.0 | T+2.5 17,700.0 | T+5 18,250.0",60.0
HAP,HOSE,NO_ACTION,—,58,NEUTRAL,0.0,SAFE,,,47,29,WHALE_DISTRIBUTING,MODE_A,7000.0,7000.0,6620.0,-5.43,7990.0,8980.0,2.61,56.5,247.0,7018.0,4800,10565,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,GIẢM,66.0,THEO_DOI,Chua co dong thuan giua chat luong tin hieu va timing; tiep tuc theo doi.,"Theo doi them truoc khi kich hoat lenh. Ke hoach du kien: SL 6,780.0 | T+2.5 7,440.0 | T+5 7,740.0",45.0
TTT,HNX,NO_ACTION,—,58,NEUTRAL,0.0,SAFE,,,39,21,WHALE_DISTRIBUTING,MODE_A,33100.0,33100.0,32100.0,-3.02,34450.0,35850.0,1.35,64.1,343.0,33195.0,100,1085,0.0,FLAT,False,WATCH,DISTRIBUTION,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,DOWNTREND_STRENGTHENING,GIẢM,39.0,TRANH_XA,Ca Action va T+ deu khong ung ho mua moi; uu tien bao toan von.,"Tranh mo vi the moi. Neu dang nam giu, dung SL - | T+2.5 - | T+5 - lam moc quan tri rui ro.",0.0
